,Longitude,Latitude
0,-79.9470669,40.4414939
1,-79.9470654145,40.4414936033
2,-79.947063929,40.4414933066
3,-79.9470624435,40.4414930099
4,-79.947060958,40.4414927132
5,-79.9470594725,40.4414924165
6,-79.947057987,40.4414921198
7,-79.9470565015,40.4414918231
8,-79.947055016,40.4414915264
9,-79.9470535305,40.4414912297
10,-79.947052045,40.441490933
11,-79.9470505596,40.4414906363
12,-79.9470490741,40.4414903396
13,-79.9470475886,40.4414900429
14,-79.9470461031,40.4414897462
15,-79.9470446176,40.4414894495
16,-79.9470431321,40.4414891528
17,-79.9470416466,40.4414888561
18,-79.9470401611,40.4414885594
19,-79.9470386756,40.4414882627
20,-79.9470371901,40.441487966
21,-79.9470357046,40.4414876693
22,-79.9470342191,40.4414873726
23,-79.9470327336,40.4414870759
24,-79.9470312481,40.4414867792
25,-79.9470297626,40.4414864825
26,-79.9470282771,40.4414861858
27,-79.9470267916,40.4414858891
28,-79.9470253061,40.4414855924
29,-79.9470238206,40.4414852957
30,-79.9470223351,40.441484999
31,-79.9470208496,40.4414847023
32,-79.9470193641,40.4414844056
33,-79.9470178787,40.4414841089
34,-79.9470163932,40.4414838122
35,-79.9470149077,40.4414835155
36,-79.9470134222,40.4414832188
37,-79.9470119367,40.4414829221
38,-79.9470104512,40.4414826254
39,-79.9470089657,40.4414823287
40,-79.9470074802,40.441482032
41,-79.9470059947,40.4414817353
42,-79.9470045092,40.4414814386
43,-79.9470030237,40.4414811419
44,-79.9470015382,40.4414808452
45,-79.9470000527,40.4414805485
46,-79.9469985672,40.4414802518
47,-79.9469970817,40.4414799551
48,-79.9469955962,40.4414796584
49,-79.9469941107,40.4414793617
50,-79.9469926252,40.441479065
51,-79.9469911397,40.4414787683
52,-79.9469896542,40.4414784716
53,-79.9469881688,40.4414781749
54,-79.9469866833,40.4414778782
55,-79.9469851978,40.4414775815
56,-79.9469837123,40.4414772848
57,-79.9469822268,40.4414769881
58,-79.9469807413,40.4414766914
59,-79.9469792558,40.4414763947
60,-79.9469777703,40.441476098
61,-79.9469762848,40.4414758013
62,-79.9469747993,40.4414755046
63,-79.9469733138,40.4414752079
64,-79.9469718283,40.4414749112
65,-79.9469703428,40.4414746145
66,-79.9469688573,40.4414743178
67,-79.9469673718,40.4414740211
68,-79.9469658863,40.4414737244
69,-79.9469644008,40.4414734277
70,-79.9469629153,40.441473131
71,-79.9469614298,40.4414728343
72,-79.9469599443,40.4414725376
73,-79.9469584589,40.4414722409
74,-79.9469569734,40.4414719442
